id,tender_number,score,recommendation,reasoning,scored_at
30,"2026/18/هـ م م م",90,MUST_BID,"The construction of flood protection works aligns perfectly with SCC's core capabilities, and the lack of tracked competitors enhances the win probability.","2026-05-19 02:05:19.810475"
31,"2026/57/ه ب/ م ر -10",35,SKIP,"With a Second and Third grade and a low fee, this tender is below SCC's operational scale and not worth pursuing.","2026-05-19 02:08:55.673314"
32,"2026/5/ج س ق/ م ر -5",20,SKIP,"With a fee of 10 OMR and a Second grade, this tender falls below SCC's operating scale and is not a viable opportunity.","2026-05-19 02:08:55.672278"
33,"2026/145/و ت ت/ م ر -1",20,SKIP,"This tender is for renovation works with a Second grade classification and a low fee of 10 OMR, making it unsuitable for SCC.","2026-05-19 02:09:08.087030"
34,"2026/31/و إ ت ع/ م ر -6",85,STRONG_FIT,"This tender involves construction of ports, roads, and bridges with an Excellent, First grade, providing a strong alignment with SCC's core capabilities.","2026-05-19 02:05:30.831595"
35,"2026/5/م م ظ/ م ر -4",85,STRONG_FIT,"This tender aligns well with SCC's capabilities in construction, has an Excellent and First grade classification, and a reasonable competition level.","2026-05-19 02:09:08.087432"
36,"2026/42/و ث ر ش/ م ر -5",20,SKIP,"This tender is also for maintenance with a fee of 10 OMR and a Second grade, which is not aligned with SCC's core capabilities.","2026-05-19 02:08:55.671940"
37,"2026/41/و ث ر ش/ م ر -4",20,SKIP,"The tender is for maintenance works with a fee below 30 OMR and only holds a Second grade, making it too small for SCC's capabilities.","2026-05-19 02:08:55.671467"
38,"2026/31/و م/ م ر -3",85,STRONG_FIT,"This tender has an Excellent and First grade and aligns well with SCC's capabilities in large-scale construction, making it a strong candidate.","2026-05-19 02:08:55.672600"
39,"2026/170/ج ت ع ت/ م ر -9",30,SKIP,"Although it has an Excellent and First grade classification, the scope is limited to classroom construction, which is outside SCC's core capabilities.","2026-05-19 02:09:08.085895"
40,"2026/4/ج س ق/ م ر -4",20,SKIP,"The tender fee is 10 OMR and it is categorized under pipeline construction but only has a Second grade classification, making it too small for SCC.","2026-05-19 02:09:08.086261"
41,"2026/5/ب م ع/ م ر -4",35,SKIP,"The tender is for electromechanical and telecommunications maintenance, which is outside SCC's core capabilities.","2026-05-19 02:05:41.947351"
42,"2026/110/و ز ث س م/ م ر -13",70,STRONG_FIT,"This tender includes construction of ports and roads, which aligns with SCC's capabilities, but the competition from Arab Contractors could be a concern.","2026-05-19 02:09:30.918629"
43,"2026/1/ع ح ج/ م ر -1",21,SKIP,"As a re-tender with Excellent and First grade, it presents a good opportunity for SCC, especially if the previous bids were unsatisfactory. (Score reduced from 70: private non-strategic issuer)","2026-05-19 02:09:18.676795"
44,"2026/752/و ص/ م ر -54",20,SKIP,"The tender fee is 25 OMR and it falls under a First/Second grade classification, which is below SCC's operating scale.","2026-05-19 02:09:08.086617"
45,"2026/16/ه ت م ص م/ م ر -7",30,SKIP,"Although it has an Excellent and First grade, the low fee indicates it is a small-scale maintenance project, which does not align with SCC's core capabilities.","2026-05-19 02:08:55.673673"
46,"2026/10/هـ م م م",30,SKIP,"Despite the Excellent and First grade, the lack of a fee and the nature of the work suggest it may not be substantial enough for SCC.","2026-05-19 02:08:55.673035"
47,"2026/31/ه ب/ق م-26",35,SKIP,"The scope is primarily supply-related, which does not align with SCC's core civil infrastructure capabilities.","2026-05-19 02:05:41.949807"
48,"2026/572/و ص/م ن ز و م-49",0,SKIP,"This tender is for maintenance work with a low grade, which is far below SCC's operational scale.","2026-05-19 02:05:41.950230"
49,"2025/22/و ط م/ م ر -8 - اعادة طرح - 1",20,SKIP,"This tender is for maintenance services with a low fee and falls under a Second/Third grade, making it unsuitable for SCC's operational scale.","2026-05-19 02:10:00.306733"
50,"2026/347/و ص/م ن ز و م-20",20,SKIP,"This tender is for maintenance services with a fee below 30 OMR, which does not align with SCC's core capabilities.","2026-05-19 02:05:53.658758"
51,"2026/13/و إ ت ع/ م ر -4",50,CONSIDER,"While the tender is for manufacturing services, it has a reasonable fee and low competition, making it worth considering.","2026-05-19 02:05:53.659365"
52,"2026/260/و ص/م ن ز و م-9",85,STRONG_FIT,"This tender for construction and maintenance aligns well with SCC's capabilities and has no tracked competitors.","2026-05-19 02:05:53.659799"
53,"2026/9/و إ ت ع/ م ر -2",90,MUST_BID,"This tender is for construction work under Excellent/First grade with no tracked competitors, aligning perfectly with SCC's core capabilities.","2026-05-19 02:10:07.624990"
54,"2026/23/و ع/ق م-23",70,STRONG_FIT,"This construction tender has a good alignment with SCC's capabilities and a manageable level of competition.","2026-05-19 02:05:53.660668"
55,"2025/131/ه ب/ق م -86- اعادة طرح - 1",0,SKIP,"The tender is for supply work, which does not align with SCC's core capabilities and has no relevant historical context.","2026-05-19 02:05:53.661109"
56,"2026/24/ج ت ع ت/ م ر -2",35,SKIP,"The tender is for pipeline work but is only graded Third/Fourth, which is below SCC's operational standards.","2026-05-19 02:05:53.661508"
57,"2026/133/و ص/م ع خ ص م-1",20,SKIP,"The tender is for electromechanical maintenance with a fee below 30 OMR and a grade of Second, making it too small and outside SCC's core capabilities.","2026-05-19 02:06:03.919435"
58,"2025/25/و أ ش د/ م ر -16",20,SKIP,"This tender involves interior decoration works with a grade of Second and a low fee, which does not align with SCC's core capabilities.","2026-05-19 02:06:03.920167"
59,"2025/114/و ت ص/م ع ت ص ب-3",70,STRONG_FIT,"The tender is for electromechanical maintenance with an Excellent grade, indicating a good match to SCC's capabilities despite competition.","2026-05-19 02:06:03.920853"
60,"2025/714/و ت ت/م ع م ش ب-41",30,SKIP,"This tender is for maintenance of lifts, which is a small-scale maintenance job and does not align with SCC's core infrastructure capabilities.","2026-05-19 02:06:03.921380"
61,"2025/145/و ت ع ب ا/ م ر -27",90,MUST_BID,"The tender involves pipeline network construction with an Excellent grade, aligning perfectly with SCC's core capabilities and presenting a strong win probability.","2026-05-19 02:06:03.921785"
62,"2025/54/و ث ر ش/ م ر -22",30,SKIP,"This tender is for electromechanical maintenance, which is a small-scale job and does not fit SCC's core capabilities.","2026-05-19 02:06:03.922195"
63,"2025/89/ه ب/ م ر -17",30,SKIP,"The tender involves construction and maintenance with a grade of First and Second, but it does not align with SCC's core capabilities.","2026-05-19 02:06:03.922571"
64,"2025/21/ج ض/ م ر -7",20,SKIP,"This tender is for office renovations with a grade of Second and Third, which is below SCC's operating scale.","2026-05-19 02:06:03.922959"
65,"2025/12/ م ز ك ت",35,WATCH,"While the tender is classified as Excellent and First, it involves maintenance works, which are below SCC's core capabilities and scale.","2026-05-19 02:06:15.495263"
66,"2025/2263/و ص/م ص م-190",85,STRONG_FIT,"This tender involves pipeline network construction, aligning well with SCC's core capabilities, despite competition from notable firms like Galfar and L&T.","2026-05-19 02:06:15.495655"
67,"2025/6/مواصلات/ م ر -6",35,WATCH,"The tender includes Second and Third grade classifications, which limit its appeal to SCC due to lower operational scale.","2026-05-19 02:06:15.496040"
68,"2025/3/ م س ق س أ س",20,SKIP,"The tender fee is below 30 OMR and involves electromechanical work, which is outside SCC's core capabilities.","2026-05-19 02:06:15.496407"
69,"2025/4/ م س ق س أ س",20,SKIP,"Similar to the previous tender, this involves a low fee and maintenance work, which does not align with SCC's core strengths.","2026-05-19 02:06:15.496721"
70,"2025/32/ج ت ع ت/ م ر -17",20,SKIP,"The tender is limited to Second and Third grade classifications and involves horticulture, which is outside SCC's core capabilities.","2026-05-19 02:06:15.497308"
71,"2025/20/ج ت ع ت/ م ر -9",20,SKIP,"This tender is also limited to Second and Third grade classifications and involves electromechanical work, which does not fit SCC's focus.","2026-05-19 02:06:15.497693"
72,"2024/140/م م/ م ك-80",30,SKIP,"Although it is a First grade tender, it involves maintenance work which is not aligned with SCC's core capabilities.","2026-05-19 02:06:15.498096"
73,"2024/28/م و/ م ر -6",30,SKIP,"Although the grade is Excellent, the scope does not align with SCC's core capabilities in civil infrastructure.","2026-05-19 02:06:25.771065"
74,"2024/25/و ث ر ش/ م ر -25",0,SKIP,"The tender is for maintenance and operation in a non-core category, making it unsuitable for SCC.","2026-05-19 02:06:25.771560"
75,"2024/4/ع ح ج/ م ر -4",9,SKIP,"While the grade is Excellent, the category does not align with SCC's core capabilities in civil infrastructure. (Score reduced from 30: private non-strategic issuer)","2026-05-19 02:06:25.772117"
76,"2024/121/و ت س/د ش م-98",30,SKIP,"The scope of electric extensions does not fit SCC's core competencies in large-scale civil infrastructure.","2026-05-19 02:06:25.772567"
77,"2024/71/م م/ م ك-41",20,SKIP,"The tender grade is Second/Third and the fee is below 30 OMR, making it a minor maintenance job not suitable for SCC.","2026-05-19 02:06:25.773001"
78,"2023/111/و ا/د م-99",0,SKIP,"The tender involves maintenance of elevators, which is outside SCC's core capabilities.","2026-05-19 02:06:25.773394"
79,"2023/19/و ث ر ش/ م ر -19",20,SKIP,"The tender is for maintenance and operation in a non-core category with a fee below 30 OMR, making it unsuitable for SCC.","2026-05-19 02:06:25.773803"
80,"2023/27/م و/ق ص-14",0,SKIP,"The tender involves supply of fire exit lights, which does not align with SCC's core civil infrastructure capabilities.","2026-05-19 02:06:25.774220"
81,"2023/2758/و ص/م إ ب ر م-10",85,STRONG_FIT,"The tender involves pipeline network construction, which aligns well with SCC's capabilities and has an Excellent grade, indicating a strong fit.","2026-05-19 02:06:35.204138"
82,"2023/50/بيئة/ق م ش-40",20,SKIP,"The tender fee is below 30 OMR and the grade is Second, which limits the score significantly and makes it a minor maintenance job not suitable for SCC.","2026-05-19 02:06:35.204630"
83,"2023/169/و ت أ/د م ص -11- اعادة طرح - 1",20,SKIP,"This tender is for maintenance of water pumps and falls under Second grade, which is below SCC's operating scale and not aligned with their core capabilities.","2026-05-19 02:06:35.205036"
84,"2023/207/و ت أ/د م ص-17",20,SKIP,"The scope involves digging a water line under a Second grade classification, making it too small and not suitable for SCC.","2026-05-19 02:06:35.205490"
85,"2023/201/ب ظ/خ م ص م-107",20,SKIP,"The tender involves making asphalt parking lots with a fee of 25 OMR, which is below SCC's scale and capabilities.","2026-05-19 02:06:35.205812"
86,"2023/65/م م/ م ر -24",90,MUST_BID,"This tender for design and construction of ports, roads, and bridges aligns perfectly with SCC's core capabilities and has an Excellent grade, indicating a high win probability.","2026-05-19 02:06:35.206187"
87,"2023/18/ج ت ع ت/ك ت ع م ع -3- اعادة طرح - 1",30,SKIP,"The tender is for signage and falls under Second grade, which limits its relevance to SCC's core capabilities and is considered too small.","2026-05-19 02:06:35.206527"
88,"2023/16/م و/ق ص-9",35,SKIP,"This tender involves electromechanical and telecommunications work, which is outside SCC's core capabilities, and the grade does not meet SCC's qualifications.","2026-05-19 02:06:35.206888"
89,"2023/41/و ا/د م-39",30,SKIP,"The tender is for electromechanical and telecommunications contracting, which is outside SCC's core capabilities.","2026-05-19 02:06:45.042496"
90,"2023/21/و ت ع ب ا/د ش م-18",30,SKIP,"This tender involves civil modification works, which does not align closely with SCC's core infrastructure capabilities.","2026-05-19 02:06:45.043138"
91,"2022/97/م م/ م ك -61- اعادة طرح - 2",20,SKIP,"Although it falls under construction of ports and roads, the fee is below the minimum threshold, making it a minor job not suitable for SCC.","2026-05-19 02:06:45.043556"
92,"2022/2812/و ص/م ع م س -128- اعادة طرح - 1",30,SKIP,"This tender is for maintenance and cleaning, which is a small-scale maintenance job not aligned with SCC's core capabilities.","2026-05-19 02:06:45.043950"
93,"2022/52/و ت ع ب ا/د ش م-27",90,MUST_BID,"This tender for pipeline network construction aligns perfectly with SCC's core capabilities, and the competition level appears manageable.","2026-05-19 02:06:45.044268"
94,"2022/21/و ث ر ش/ م ر -21",20,SKIP,"The fee is below the minimum threshold for a major job, and it is focused on maintenance and operation, which is not SCC's specialty.","2026-05-19 02:06:45.044636"
95,"2022/69/ه ت م ص م/م ع ش ا م -52- اعادة طرح - 1",30,SKIP,"This tender is for construction and maintenance, which does not align closely with SCC's core capabilities.","2026-05-19 02:06:45.045065"
96,"2022/47/و ت ع ب ا/د ش م-23",90,MUST_BID,"This tender for pipeline network construction aligns perfectly with SCC's core capabilities, and the competition level appears manageable.","2026-05-19 02:06:45.045448"
97,"2022/29/م م ش ب/ م ر -20",20,SKIP,"This tender is for a Second grade project with a fee above 30 OMR, but still falls below SCC's operating scale, making it unsuitable.","2026-05-19 02:06:56.764991"
98,"2022/45/و ت ص/م ع ت ص ب-1",35,SKIP,"Although the grade is Excellent, First, Second, Third, Fourth, the category does not align with SCC's core capabilities, which limits its strategic fit.","2026-05-19 02:06:56.765416"
99,"2022/24/م و/ق ص-11",30,SKIP,"This tender involves painting works, which is a small-scale maintenance job, thus not aligning with SCC's core capabilities.","2026-05-19 02:06:56.765831"
100,"2022/93/و ت أ/د م ص-6",20,SKIP,"This tender is for a Second grade project, which is below SCC's operating scale and not suitable for bidding.","2026-05-19 02:06:56.766296"
101,"2022/39/ مجان",35,SKIP,"While the grade is Excellent, First, Second, Third, Fourth, the category does not align with SCC's core capabilities, making it a poor fit.","2026-05-19 02:06:56.766627"
102,"2022/59/و ص/م ع م س-10",20,SKIP,"Despite being an Excellent grade tender, the fee is too low and the project scope does not align with SCC's core capabilities.","2026-05-19 02:06:56.766994"
103,"2022/3/بيئة/ م ر -1",20,SKIP,"This tender is for a project that does not align with SCC's core capabilities, despite being classified as Excellent.","2026-05-19 02:06:56.767273"
104,"2021/45/بيئة/ق م ش-17",35,SKIP,"Although the grade is Excellent, First, Second, Third, Fourth, the category does not match SCC's core capabilities, leading to a low strategic fit.","2026-05-19 02:06:56.767552"
105,"2021/133/ مجان",20,SKIP,"The tender fee is below 30 OMR and the grade includes Second, which limits the score due to SCC's operating scale.","2026-05-19 02:07:04.415058"
106,"2021/36/ش ا ع/ م ر -26",50,CONSIDER,"While the tender category is a good match, the competition level is uncertain with only 4 total awards historically.","2026-05-19 02:07:04.415360"
107,"2021/23/و ش ر/ م ر -23",20,SKIP,"The tender fee is below 30 OMR and the scope is related to maintenance, which is outside SCC's core capabilities.","2026-05-19 02:07:04.415667"
108,"2021/165/و ت ت/م ع م ش ش-2",20,SKIP,"The tender fee is below 30 OMR and the work is maintenance-related, limiting its relevance to SCC's core capabilities.","2026-05-19 02:07:04.416152"
109,"2021/43/م م/ م ر -31",85,STRONG_FIT,"This tender involves construction of roads and bridges, aligning well with SCC's core capabilities, and has no tracked competitors.","2026-05-19 02:07:04.416591"
110,"2021/259/و ز ث س م/م ع ز م ش ش-10",70,STRONG_FIT,"The pipeline construction category fits SCC's expertise, but the lack of a fee makes it harder to assess competitiveness.","2026-05-19 02:07:04.416914"
111,"2021/236/و ز ث س م/م ع ز م ش ش-7",70,STRONG_FIT,"Similar to the previous tender, it aligns with SCC's capabilities in construction, but again lacks a fee for assessment.","2026-05-19 02:07:04.417204"
112,"2021/8/بيئة/ م ر -8",50,CONSIDER,"While the category is relevant, the historical context shows moderate competition, making it a bid worth considering.","2026-05-19 02:07:04.417493"
113,"2021/23/م ب ع/ م ر -1",30,SKIP,"Although the grade is Excellent, the scope of work is not aligned with SCC's core capabilities, and the fee is below the minimum threshold for serious consideration.","2026-05-19 02:07:14.220294"
114,"2021/8/ ن ا د",28,SKIP,"This tender aligns perfectly with SCC's core capabilities in road construction, has an Excellent grade, and faces minimal competition, making it a strong opportunity. (Score reduced from 95: private non-strategic issuer)","2026-05-19 02:07:14.220630"
115,"2020/402/و ت ت/م ع م ظ-4",20,SKIP,"The tender is for maintenance work and has a Second grade classification, which is below SCC's operating scale, and the fee is also low.","2026-05-19 02:07:14.220967"
116,"2020/403/و ت ت/م ع م ظ-5",20,SKIP,"Similar to the previous tender, this is also for maintenance work with a Second grade classification, making it unsuitable for SCC.","2026-05-19 02:07:14.221350"
117,"2020/581/و ز ث س/م م ص-59",35,SKIP,"Despite having an Excellent grade, the scope is not aligned with SCC's core capabilities, and it falls under maintenance work.","2026-05-19 02:07:14.221674"
118,"2020/582/و ز ث س/م م ص-60",35,SKIP,"This tender also falls under maintenance work with an Excellent grade but does not align with SCC's core capabilities.","2026-05-19 02:07:14.222054"
119,"2020/545/و ز ث س/م ب ز و-125",35,SKIP,"The tender includes maintenance work and has a mixed grade classification, which is not suitable for SCC.","2026-05-19 02:07:14.222364"
120,"2020/21/ه ع ت أ/ق م ش-13",35,SKIP,"This tender involves maintenance work with a mixed grade classification, which does not fit SCC's core capabilities.","2026-05-19 02:07:14.222753"
121,"2020/491/و ز ث س/م ب ز و-111",30,SKIP,"This tender involves maintenance work in a category that does not align with SCC's core capabilities, and it is likely to be a small-scale job.","2026-05-19 02:07:25.030694"
122,"2020/488/و ز ث س/م ب ز و-109",90,MUST_BID,"This tender is for pipeline network construction, a core capability of SCC, with a strong win probability due to limited competition.","2026-05-19 02:07:25.031224"
123,"2020/8/ع ح ج/ م ر -8",9,SKIP,"The scope of this tender does not align with SCC's core capabilities, and it is likely to be a small-scale job. (Score reduced from 30: private non-strategic issuer)","2026-05-19 02:07:25.031655"
124,"2020/424/و ز ث س/م م ص-48",30,SKIP,"This tender involves maintenance work in a category that does not align with SCC's core capabilities, and it is likely to be a small-scale job.","2026-05-19 02:07:25.032084"
125,"2020/364/و ز ث س/م ب ز و-92",30,SKIP,"This tender involves maintenance work in a category that does not align with SCC's core capabilities, and it is likely to be a small-scale job.","2026-05-19 02:07:25.032464"
126,"2020/11/ه ع ت أ/ق م ش-4",30,SKIP,"This tender involves electromechanical contracting and maintenance, which is outside SCC's core capabilities.","2026-05-19 02:07:25.032858"
127,"2020/345/و ز ث س/م ب ز و-85",30,SKIP,"This tender involves maintenance work in a category that does not align with SCC's core capabilities, and it is likely to be a small-scale job.","2026-05-19 02:07:25.033271"
128,"2020/298/و ز ث س/م ب ز و-75",90,MUST_BID,"This tender is for pipeline network construction, a core capability of SCC, with a strong win probability due to limited competition.","2026-05-19 02:07:25.033649"
129,"2020/291/و ز ث س/م ب ز و-73",30,SKIP,"The tender is for electromechanical and telecommunications maintenance, which is outside SCC's core capabilities.","2026-05-19 02:07:34.122858"
130,"2020/290/و ز ث س/م ب ز و-72",30,SKIP,"Similar to the previous tender, this is focused on electromechanical maintenance and does not align with SCC's core work.","2026-05-19 02:07:34.123553"
131,"2020/267/و ز ث س/م ب ز و-63",30,SKIP,"This tender also falls under electromechanical maintenance, which is not a strategic fit for SCC.","2026-05-19 02:07:34.124238"
132,"2020/2/ و ب ش م -اعادة طرح- 1",20,SKIP,"Although it is an excellent grade tender, the fee is below 30 OMR, making it too small for SCC's operational scale.","2026-05-19 02:07:34.124697"
133,"2020/254/و ز ث س/م ب ز و-59",30,SKIP,"This tender is for electromechanical maintenance, which does not align with SCC's core capabilities.","2026-05-19 02:07:34.125195"
134,"2020/249/و ز ث س/RP-58-م ب ز و",30,SKIP,"Similar to previous tenders, this is focused on electromechanical maintenance, which is outside SCC's core work.","2026-05-19 02:07:34.125616"
135,"2020/8/بيئة/ق م ش-3",35,SKIP,"This tender is only graded Second, which is below SCC's operational scale, limiting its strategic fit.","2026-05-19 02:07:34.126043"
136,"2020/4/ه ع ت أ/ م ر -3",35,SKIP,"Although it is an excellent grade tender, the fee is below 30 OMR, making it too small for SCC's operational scale.","2026-05-19 02:07:34.126341"
137,"2020/225/و ز ث س/م ب ز و-44",35,WATCH,"While this tender involves pipeline construction, the grade includes lower classifications which limit its strategic fit for SCC.","2026-05-19 02:07:41.962855"
138,"2020/17/ص ت م خ م/ق م-16",0,SKIP,"This tender is for electromechanical and telecommunications work, which is outside SCC's core capabilities.","2026-05-19 02:07:41.963491"
139,"2020/12/ه ع ص ح/ا ع ع-2",30,SKIP,"The scope of theater maintenance is too small-scale and does not align with SCC's core infrastructure capabilities.","2026-05-19 02:07:41.964055"
140,"2020/47/ مجان",20,SKIP,"The fee is below 30 OMR and the grade includes lower classifications, making it a minor maintenance job not suitable for SCC.","2026-05-19 02:07:41.964517"
141,"2020/3/ و أ ش د",30,SKIP,"Although this involves construction, it is for a mosque which is not aligned with SCC's core civil infrastructure capabilities.","2026-05-19 02:07:41.964941"
142,"2020/2/ و أ ش د",30,SKIP,"Similar to the previous tender, this mosque construction does not fit SCC's strategic focus on large-scale civil infrastructure.","2026-05-19 02:07:41.965338"
143,"2020/91/و ز ث س/م م ص-14",85,STRONG_FIT,"This tender involves pipeline construction with an excellent grade, aligning well with SCC's core capabilities.","2026-05-19 02:07:41.965766"
144,"2020/63/و ز ث س/م م ص-8",0,SKIP,"This tender is for electromechanical and telecommunications work, which is outside SCC's core capabilities.","2026-05-19 02:07:41.966175"
145,"2019/122/هـ ت م/ق م ش -116- اعادة طرح - 1",30,SKIP,"This tender involves renovation work, which is outside SCC's core capabilities and falls under small-scale maintenance.","2026-05-19 02:07:54.338435"
146,"2019/220/و ز ث س/م م ص و-11",30,SKIP,"The scope is focused on maintenance of lighting poles, which does not align with SCC's core competencies and is considered a minor job.","2026-05-19 02:07:54.338937"
147,"2019/185/و ز ث س/م م ص-17",30,SKIP,"This tender is for maintenance of electromechanical systems, which is outside SCC's core capabilities and is not a strategic fit.","2026-05-19 02:07:54.339306"
148,"2019/186/و ز ث س/م م ص-18",30,SKIP,"The tender involves annual maintenance of fire alarms, which does not match SCC's core construction capabilities.","2026-05-19 02:07:54.339834"
149,"2019/4/ و ش ر -اعادة طرح- 1",35,WATCH,"While this tender is for construction work, the scope is limited and the fee is low, making it less appealing for SCC.","2026-05-19 02:07:54.340277"
150,"2019/121/و ز ث س/م م ص-8",30,SKIP,"This tender focuses on maintenance of air-conditioning systems, which is outside SCC's core competencies.","2026-05-19 02:07:54.340607"
151,"2019/1/ع ح ج/ م ر -1",21,SKIP,"This tender involves construction works with an excellent grade, aligning well with SCC's capabilities and presenting a reasonable competition level. (Score reduced from 70: private non-strategic issuer)","2026-05-19 02:07:54.341033"
152,"2018/20/ و ن ت -اعادة طرح- 1",20,SKIP,"The tender fee is low and the scope is limited to maintenance, which is not a strategic fit for SCC.","2026-05-19 02:07:54.341437"
153,"2018/14/ م ق",90,MUST_BID,"This tender is for construction works with an Excellent grade and a substantial fee, aligning well with SCC's core capabilities.","2026-05-19 02:08:03.708116"
154,"2018/33/و إ/ م ر -5",70,STRONG_FIT,"This First grade tender for completion works has a reasonable fee and aligns with SCC's capabilities, despite the presence of competitors.","2026-05-19 02:08:03.708773"
155,"2017/8/ ع ن ع",10,SKIP,"While the tender has an Excellent grade, the fee is low and the scope is unclear, making it less attractive for SCC. (Score reduced from 35: private non-strategic issuer)","2026-05-19 02:08:03.709356"
156,"2025/3431/و ص/م ع خ ص ب -3- اعادة طرح - 2",20,SKIP,"This tender is for renovation works with a low fee and a Second grade, which is below SCC's operating scale.","2026-05-19 02:08:03.709844"
