id,article_id,relevant,scc_implication,category,priority,analysed_at
41,181,0,,,,"2026-05-02 02:00:03"
42,182,0,,,,"2026-05-02 02:00:03"
43,183,0,,,,"2026-05-02 02:00:03"
44,19,0,,,,"2026-05-02 02:00:03"
45,74,0,,,,"2026-05-02 02:00:03"
46,75,0,,,,"2026-05-02 02:00:03"
47,76,0,,,,"2026-05-02 02:00:03"
48,77,0,,,,"2026-05-02 02:00:03"
49,184,0,,,,"2026-05-02 02:00:03"
50,78,0,,,,"2026-05-02 02:00:03"
51,185,0,,,,"2026-05-02 02:00:19.393324"
52,188,0,,,,"2026-05-02 02:00:19.394771"
53,20,0,,,,"2026-05-02 02:00:19.395246"
54,21,0,,,,"2026-05-02 02:00:19.395681"
55,22,0,,,,"2026-05-02 02:00:19.396141"
56,23,0,,,,"2026-05-02 02:00:19.396568"
57,24,0,,,,"2026-05-02 02:00:19.397005"
58,25,0,,,,"2026-05-02 02:00:30.348936"
59,26,0,,,,"2026-05-02 02:00:30.349373"
60,116,1,"Investment agreements exceeding RO 200 million in Oman’s special economic zones indicate potential future infrastructure projects, including industrial facilities that may require civil works. Tenders likely in the next 12-24 months.",PROJECT,MEDIUM,"2026-05-02 02:00:30.349797"
61,18,0,,,,"2026-05-02 02:00:19"
62,186,0,,,,"2026-05-02 02:00:19"
63,187,0,,,,"2026-05-02 02:00:19"
64,117,0,,,,"2026-05-02 02:00:30.350319"
65,118,1,"Landfill gas recovery projects in Oman may involve civil engineering works related to waste management infrastructure. Specific project details and timelines are needed for further analysis.",PROJECT,MEDIUM,"2026-05-02 02:00:30.350723"
66,119,0,,,,"2026-05-02 02:00:30.351166"
67,120,0,,,,"2026-05-02 02:00:30.351543"
68,121,0,,,,"2026-05-02 02:00:30.351958"
69,27,0,,,,"2026-05-02 02:00:30.352339"
70,79,0,,,,"2026-05-02 02:00:30.352629"
71,80,0,,,,"2026-05-02 02:00:43.063028"
72,81,0,,,,"2026-05-02 02:00:43.063514"
73,82,0,,,,"2026-05-02 02:00:43.064018"
74,28,0,,,,"2026-05-02 02:00:43.064384"
75,29,0,,,,"2026-05-02 02:00:43.064680"
76,83,0,,,,"2026-05-02 02:00:43.065035"
77,30,0,,,,"2026-05-02 02:00:43.065326"
78,84,0,,,,"2026-05-02 02:00:43.065701"
79,85,0,,,,"2026-05-02 02:00:43.066058"
80,86,1,"Nizwa Public Park project spans 150,000 square metres in Al Dakhiliyah Governorate. This park development may require civil works, including landscaping and infrastructure, with potential tenders in the near future.",PROJECT,MEDIUM,"2026-05-02 02:00:43.066335"
81,87,0,,,,"2026-05-02 02:00:57.878258"
82,88,0,,,,"2026-05-02 02:00:57.878759"
83,89,1,"The National Addressing Project in Muscat may require civil works for road renaming and signage installation. This could involve road construction and infrastructure upgrades, with tenders likely in the near future.",PROJECT,MEDIUM,"2026-05-02 02:00:57.879300"
84,90,0,,,,"2026-05-02 02:00:57.879679"
85,122,0,,,,"2026-05-02 02:00:57.880125"
86,123,0,,,,"2026-05-02 02:00:57.880503"
87,124,1,"Nama's nationwide rehabilitation programme to enhance water network efficiency may involve pipeline laying and related civil works. Tenders for these projects could emerge in the next 12-18 months.",PROJECT,MEDIUM,"2026-05-02 02:00:57.880805"
88,31,0,,,,"2026-05-02 02:00:57.881160"
89,126,0,,,,"2026-05-02 02:00:57.881476"
90,91,0,,,,"2026-05-02 02:00:57.881840"
91,92,1,"Major progress reported on the dualisation of Sultan Said bin Taimur Road in Duqm, Al Wusta. This project may lead to upcoming tenders for road construction work, potentially within the next 6-12 months.",PROJECT,HIGH,"2026-05-02 02:01:07.958628"
92,93,0,,,,"2026-05-02 02:01:07.959162"
93,32,0,,,,"2026-05-02 02:01:07.959522"
94,127,0,,,,"2026-05-02 02:01:07.959809"
95,33,0,,,,"2026-05-02 02:01:07.960257"
96,831,0,,,,"2026-05-02 02:05:50"
97,830,0,,,,"2026-05-02 02:05:50"
98,853,0,,,,"2026-05-02 02:05:50"
99,854,0,,,,"2026-05-02 02:05:50"
100,875,0,,,,"2026-05-02 02:05:50"
101,878,0,,,,"2026-05-02 02:05:50"
102,920,1,"Port of Duqm's engagement with the Oman Net Zero Centre indicates potential future civil works related to sustainability initiatives. Al Wusta governorate may see tenders for green infrastructure projects in the coming years.",PROJECT,MEDIUM,"2026-05-02 02:05:50"
103,884,0,,,,"2026-05-02 02:05:50"
104,885,0,,,,"2026-05-02 02:05:50"
105,887,0,,,,"2026-05-02 02:05:50"
106,1063,1,"Hassan Allam's new distribution center in Yanmu park indicates ongoing infrastructure development in the region. This could lead to future civil works opportunities in logistics and distribution facilities.",PROJECT,MEDIUM,"2026-05-02 02:06:00"
107,894,0,,,,"2026-05-02 02:06:00"
108,925,1,"Al Sharqiyah South's economic growth suggests potential future infrastructure projects in the governorate. Tenders for civil works may arise as development policies are implemented.",PROJECT,MEDIUM,"2026-05-02 02:06:00"
109,927,0,,,,"2026-05-02 02:06:00"
110,928,0,,,,"2026-05-02 02:06:00"
111,1001,0,,,,"2026-05-02 02:06:00"
112,899,0,,,,"2026-05-02 02:06:00"
113,999,1,"Oman's plans to expand oil transport and storage infrastructure indicate upcoming civil works in pipeline laying and storage facilities. Tenders may be expected in the near future.",PROJECT,MEDIUM,"2026-05-02 02:06:00"
114,1006,1,"Review of telecom services and infrastructure projects in Al Dhahirah suggests potential civil works opportunities in telecom infrastructure development. Monitor for upcoming tenders.",PROJECT,MEDIUM,"2026-05-02 02:06:00"
115,902,0,,,,"2026-05-02 02:06:00"
116,906,0,,,,"2026-05-02 02:06:11"
117,910,0,,,,"2026-05-02 02:06:11"
118,911,0,,,,"2026-05-02 02:06:11"
119,913,0,,,,"2026-05-02 02:06:11"
120,936,1,"Nama Water Services is investing OMR 1 billion in pipeline infrastructure to reduce water loss. This indicates potential future tenders for pipeline laying in various governorates. SCC should monitor Nama's procurement for related civil works packages.",PROJECT,HIGH,"2026-05-02 02:06:11"
121,937,0,,,,"2026-05-02 02:06:11"
122,939,0,,,,"2026-05-02 02:06:11"
123,940,0,,,,"2026-05-02 02:06:11"
124,941,0,,,,"2026-05-02 02:06:11"
125,1082,1,"Arab Contractors' recent activities indicate competitive pressure in the civil infrastructure sector. SCC should be aware of their movements as they may impact future project bids in Oman.",COMPETITOR,MEDIUM,"2026-05-02 02:06:11"
126,1004,0,,,,"2026-05-02 02:06:21"
127,944,0,,,,"2026-05-02 02:06:21"
128,945,0,,,,"2026-05-02 02:06:21"
129,947,0,,,,"2026-05-02 02:06:21"
130,948,0,,,,"2026-05-02 02:06:21"
131,949,0,,,,"2026-05-02 02:06:21"
132,950,1,"Palm Hills project in Musandam Governorate involves significant infrastructure development, likely requiring road construction and civil works. Tenders may be forthcoming as agreements have been signed.",PROJECT,MEDIUM,"2026-05-02 02:06:21"
133,1000,1,"Infrastructure contracts signed for 15 coastal villages in Musandam Governorate indicate upcoming civil works opportunities. SCC should monitor for related tenders in the region.",PROJECT,HIGH,"2026-05-02 02:06:21"
134,190,1,"18 construction projects are currently underway, potentially involving various civil works. SCC should identify specific projects to assess competitive positioning.",PROJECT,MEDIUM,"2026-05-02 02:06:21"
135,872,0,,,,"2026-05-02 02:06:21"
136,125,0,,,,"2026-05-02 02:06:24"
137,313,1,"Duqm road projects are advancing, indicating ongoing civil works in Al Wusta governorate. SCC should monitor SEZAD for potential tender announcements related to road construction.",PROJECT,MEDIUM,"2026-05-02 02:06:24"
138,1007,1,"Port of Duqm's participation in the Net Zero Centre signals potential future civil works for sustainable infrastructure projects. Tenders for related construction could emerge in Al Wusta governorate within 12-18 months.",PROJECT,MEDIUM,"2026-05-02 09:55:21"
139,919,0,,,,"2026-05-02 09:55:21"
140,886,0,,,,"2026-05-02 09:55:21"
141,946,0,,,,"2026-05-02 09:55:21"
142,1092,0,,,,"2026-05-03 02:06:33"
143,1093,0,,,,"2026-05-03 02:06:33"
144,1094,0,,,,"2026-05-03 02:06:33"
145,1096,0,,,,"2026-05-03 02:06:33"
146,1098,0,,,,"2026-05-03 02:06:33"
147,1123,0,,,,"2026-05-03 02:06:33"
148,1100,0,,,,"2026-05-03 02:06:33"
149,1102,0,,,,"2026-05-03 02:06:33"
150,1101,0,,,,"2026-05-03 02:06:33"
151,1103,0,,,,"2026-05-03 02:06:33"
152,1135,0,,,,"2026-05-03 02:06:42"
153,1136,0,,,,"2026-05-03 02:06:42"
154,1137,0,,,,"2026-05-03 02:06:42"
155,1108,0,,,,"2026-05-03 02:06:42"
156,1109,0,,,,"2026-05-03 02:06:42"
157,1138,0,,,,"2026-05-03 02:06:42"
158,1110,0,,,,"2026-05-03 02:06:42"
159,1144,0,,,,"2026-05-03 02:06:42"
160,1148,0,,,,"2026-05-03 02:06:42"
161,1151,0,,,,"2026-05-03 02:06:42"
162,1119,0,,,,"2026-05-03 02:06:47"
163,1158,0,,,,"2026-05-03 02:06:47"
164,1159,1,"Oman's $519M industrial push includes steel and construction projects, indicating potential future civil works. Specific projects and timelines are not detailed, but this signals increased infrastructure activity in the region.",PROJECT,MEDIUM,"2026-05-03 02:06:47"
165,1171,0,,,,"2026-05-03 02:06:47"
166,1293,0,,,,"2026-05-04 02:00:40"
167,1246,0,,,,"2026-05-04 02:00:40"
168,1232,0,,,,"2026-05-04 02:00:40"
169,1198,0,,,,"2026-05-04 02:00:40"
170,1207,0,,,,"2026-05-04 02:00:40"
171,1212,0,,,,"2026-05-04 02:00:40"
172,1216,0,,,,"2026-05-04 02:00:40"
173,1217,0,,,,"2026-05-04 02:00:40"
174,1220,0,,,,"2026-05-04 02:00:40"
175,1221,0,,,,"2026-05-04 02:00:40"
176,1223,0,,,,"2026-05-04 02:00:47"
177,1242,0,,,,"2026-05-04 02:00:47"
178,1227,0,,,,"2026-05-04 02:00:47"
179,1237,0,,,,"2026-05-04 02:00:47"
180,1149,0,,,,"2026-05-04 02:00:47"
181,1319,0,,,,"2026-05-05 02:06:46"
182,1318,0,,,,"2026-05-05 02:06:46"
183,1327,0,,,,"2026-05-05 02:06:46"
184,1331,0,,,,"2026-05-05 02:06:46"
185,1336,0,,,,"2026-05-05 02:06:46"
186,1337,0,,,,"2026-05-05 02:06:46"
187,1411,0,,,,"2026-05-05 02:06:46"
188,1338,1,"Oman is modernising its engineering contract framework to address execution risks as it scales up its project pipeline. This could influence future civil works tenders, particularly in infrastructure development across various sectors.",POLICY,MEDIUM,"2026-05-05 02:06:46"
189,1363,0,,,,"2026-05-05 02:06:46"
190,1368,0,,,,"2026-05-05 02:06:46"
191,1342,0,,,,"2026-05-05 02:06:57"
192,1357,0,,,,"2026-05-05 02:06:57"
193,1373,0,,,,"2026-05-05 02:06:57"
194,1377,0,,,,"2026-05-05 02:06:57"
195,1383,0,,,,"2026-05-05 02:06:57"
196,1384,0,,,,"2026-05-05 02:06:57"
197,1385,0,,,,"2026-05-05 02:06:57"
198,1410,1,"Nama Water Services' network overhaul and expansion indicates upcoming civil works for water infrastructure across Oman. Specific timelines and project values are yet to be detailed, but this is relevant for future pipeline and water management projects.",PROJECT,MEDIUM,"2026-05-05 02:06:57"
199,1413,1,"The granting of public utility status to four new dams by Sultan Haitham suggests imminent civil works in dam construction across Oman. Tenders for these projects may be expected in the near future.",PROJECT,MEDIUM,"2026-05-05 02:06:57"
200,1388,0,,,,"2026-05-05 02:06:57"
201,1359,0,,,,"2026-05-05 02:07:01"
202,1349,0,,,,"2026-05-05 02:07:01"
203,1270,0,,,,"2026-05-05 02:07:01"
204,1430,0,,,,"2026-05-06 02:00:38"
205,1462,0,,,,"2026-05-06 02:00:38"
206,1463,0,,,,"2026-05-06 02:00:38"
207,1479,0,,,,"2026-05-06 02:00:38"
208,1480,0,,,,"2026-05-06 02:00:38"
209,1481,0,,,,"2026-05-06 02:00:38"
210,1485,0,,,,"2026-05-06 02:00:38"
211,1447,0,,,,"2026-05-06 02:00:38"
212,1448,1,"Nama PWP's tender for a large-scale hydrogen-to-power project indicates potential civil works related to energy infrastructure in Oman. Tenders likely to emerge in the next 12-18 months, which could involve pipeline laying and related construction activities.",PROJECT,MEDIUM,"2026-05-06 02:00:38"
213,1450,0,,,,"2026-05-06 02:00:38"
214,1474,0,,,,"2026-05-06 02:00:47"
215,1491,0,,,,"2026-05-06 02:00:47"
216,1493,0,,,,"2026-05-06 02:00:47"
217,1465,0,,,,"2026-05-06 02:00:47"
218,1498,0,,,,"2026-05-06 02:00:47"
219,1453,0,,,,"2026-05-06 02:00:47"
220,1504,0,,,,"2026-05-06 02:00:47"
221,1470,0,,,,"2026-05-06 02:00:47"
222,1472,0,,,,"2026-05-06 02:00:47"
223,1365,0,,,,"2026-05-06 02:00:47"
224,1378,0,,,,"2026-05-06 02:00:54"
225,1379,0,,,,"2026-05-06 02:00:54"
226,1381,0,,,,"2026-05-06 02:00:54"
227,1412,1,"Oman's tourism sector growth emphasizes the need for enhanced infrastructure, including public restrooms, to improve traveler experience. This signals potential future civil works in various governorates to support tourism development.",PROJECT,MEDIUM,"2026-05-06 02:00:54"
228,1553,0,,,,"2026-05-07 02:00:45"
229,1557,0,,,,"2026-05-07 02:00:45"
230,1585,1,"Sultan Qaboos University is advancing its infrastructure development, which may include civil works projects in Muscat. SCC should monitor potential tenders related to educational infrastructure enhancements.",PROJECT,MEDIUM,"2026-05-07 02:00:45"
231,1558,0,,,,"2026-05-07 02:00:45"
232,1561,0,,,,"2026-05-07 02:00:45"
233,1562,0,,,,"2026-05-07 02:00:45"
234,1563,0,,,,"2026-05-07 02:00:45"
235,1564,0,,,,"2026-05-07 02:00:45"
236,1607,0,,,,"2026-05-07 02:00:45"
237,1566,0,,,,"2026-05-07 02:00:45"
238,1567,0,,,,"2026-05-07 02:00:59"
239,1609,0,,,,"2026-05-07 02:00:59"
240,1592,0,,,,"2026-05-07 02:00:59"
241,1614,1,"OMR 4 million contract signed for Ateen Natural Park project in Dhofar governorate. This indicates ongoing civil works in the region, which may lead to future opportunities for SCC in park and infrastructure development.",PROJECT,MEDIUM,"2026-05-07 02:00:59"
242,1571,0,,,,"2026-05-07 02:00:59"
243,1572,0,,,,"2026-05-07 02:00:59"
244,1573,0,,,,"2026-05-07 02:00:59"
245,1597,0,,,,"2026-05-07 02:00:59"
246,1618,0,,,,"2026-05-07 02:00:59"
247,1599,0,,,,"2026-05-07 02:00:59"
248,1574,0,,,,"2026-05-07 02:01:10"
249,1625,0,,,,"2026-05-07 02:01:10"
250,1578,0,,,,"2026-05-07 02:01:10"
251,1596,0,,,,"2026-05-07 02:01:10"
252,1483,0,,,,"2026-05-07 02:01:10"
253,1486,0,,,,"2026-05-07 02:01:10"
254,1487,0,,,,"2026-05-07 02:01:10"
255,1489,0,,,,"2026-05-07 02:01:10"
256,1389,0,,,,"2026-05-07 02:01:10"
257,1849,0,,,,"2026-05-10 02:05:05"
258,1802,0,,,,"2026-05-10 02:05:05"
259,1803,0,,,,"2026-05-10 02:05:05"
260,1832,1,"The Atin Nature Park project in Salalah involves significant landscaping and earthworks valued at over RO 4 million. This could indicate future opportunities for civil infrastructure work in Dhofar governorate.",PROJECT,MEDIUM,"2026-05-10 02:05:05"
261,1833,0,,,,"2026-05-10 02:05:05"
262,1836,1,"The major landscaping and afforestation project along Sultan Qaboos Street in Barka may involve civil works that could be relevant for SCC. Al Batinah South Municipality is likely to seek contractors for related infrastructure improvements.",PROJECT,MEDIUM,"2026-05-10 02:05:05"
263,1805,0,,,,"2026-05-10 02:05:05"
264,1809,0,,,,"2026-05-10 02:05:05"
265,1857,0,,,,"2026-05-10 02:05:05"
266,1816,0,,,,"2026-05-10 02:05:05"
267,1817,0,,,,"2026-05-10 02:05:12"
268,1840,0,,,,"2026-05-10 02:05:12"
269,1822,0,,,,"2026-05-10 02:05:12"
270,1858,0,,,,"2026-05-10 02:05:12"
271,1860,0,,,,"2026-05-10 02:05:12"
272,1740,0,,,,"2026-05-10 02:05:12"
273,1746,1,"Development of the Geo-Adventure Park and Wellness Retreat at Oman Botanic Garden indicates potential civil works for eco-tourism infrastructure. Muscat governorate. Tenders may arise in the next 12-24 months.",PROJECT,MEDIUM,"2026-05-10 02:05:12"
274,1696,0,,,,"2026-05-10 02:05:12"
275,1700,0,,,,"2026-05-10 02:05:12"
276,1656,0,,,,"2026-05-10 02:05:12"
277,1657,1,"The MoHUP's urban growth achievements may lead to future civil works in Muscat, particularly in urban infrastructure development. Tenders for related projects could emerge within the next 12-24 months.",PROJECT,MEDIUM,"2026-05-10 02:05:21"
278,1662,0,,,,"2026-05-10 02:05:21"
279,1663,0,,,,"2026-05-10 02:05:21"
280,1715,1,"Construction on three hospitals valued at $389.7M (approx OMR 150M) indicates significant civil works in the healthcare sector. SCC should monitor for potential subcontracting opportunities in these projects.",PROJECT,HIGH,"2026-05-10 02:05:21"
281,1702,1,"The Greater Muscat Structure Plan signals a comprehensive approach to urban development, likely leading to future civil works tenders in Muscat. Expect related construction opportunities in the next 12-24 months.",PROJECT,MEDIUM,"2026-05-10 02:05:21"
282,1703,0,,,,"2026-05-10 02:05:21"
283,1705,0,,,,"2026-05-10 02:05:21"
284,1658,0,,,,"2026-05-10 02:05:21"
285,1723,1,"OQ's advancement on major Oman projects suggests upcoming civil works, particularly in energy and infrastructure sectors. Tenders may be expected within the next 12-18 months.",PROJECT,MEDIUM,"2026-05-10 02:05:21"
286,1725,1,"The $10.4 million Ateen Natural Park project in Salalah indicates potential civil works related to tourism infrastructure development. SCC should watch for tenders in Dhofar region in the near future.",PROJECT,MEDIUM,"2026-05-10 02:05:21"
287,1681,0,,,,"2026-05-10 02:05:29"
288,1706,1,"The theft of tools and building materials from construction sites in Barka highlights security concerns in ongoing civil works. SCC should ensure robust security measures on its projects in the area.",OTHER,MEDIUM,"2026-05-10 02:05:29"
289,1685,0,,,,"2026-05-10 02:05:29"
290,1689,0,,,,"2026-05-10 02:05:29"
291,1690,0,,,,"2026-05-10 02:05:29"
292,1601,0,,,,"2026-05-10 02:05:29"
293,1602,0,,,,"2026-05-10 02:05:29"
294,1623,0,,,,"2026-05-10 02:05:29"
295,1624,0,,,,"2026-05-10 02:05:29"
296,1627,0,,,,"2026-05-10 02:05:29"
297,1971,1,"MHUP has unveiled projects worth RO 496 million, indicating significant upcoming civil infrastructure work. Specific project details are needed to assess direct competition for SCC.",PROJECT,MEDIUM,"2026-05-11 02:12:19"
298,1936,1,"Agreement to construct 45 social housing units signals ongoing demand for residential construction in Oman. Specific locations and timelines for tenders are yet to be detailed.",PROJECT,MEDIUM,"2026-05-11 02:12:19"
299,1937,0,,,,"2026-05-11 02:12:19"
300,1892,0,,,,"2026-05-11 02:12:19"
301,1943,0,,,,"2026-05-11 02:12:19"
302,1944,0,,,,"2026-05-11 02:12:19"
303,1896,0,,,,"2026-05-11 02:12:19"
304,1945,1,"North Al Batinah's economic growth and increase in commercial registrations may lead to future infrastructure development projects. Specific projects and timelines are not yet identified.",MARKET,MEDIUM,"2026-05-11 02:12:19"
305,1898,0,,,,"2026-05-11 02:12:19"
306,1901,0,,,,"2026-05-11 02:12:19"
307,1948,1,"Future city projects announced during the Oman Real Estate, Design & Build Exhibition may lead to significant civil infrastructure developments in Muscat. Tenders for related construction work could emerge within the next 12-24 months.",PROJECT,MEDIUM,"2026-05-11 02:12:28"
308,1909,0,,,,"2026-05-11 02:12:28"
309,1911,0,,,,"2026-05-11 02:12:28"
310,1951,0,,,,"2026-05-11 02:12:28"
311,1953,0,,,,"2026-05-11 02:12:28"
312,1913,0,,,,"2026-05-11 02:12:28"
313,1958,0,,,,"2026-05-11 02:12:28"
314,1916,1,"RO 495 million in real estate deals announced could signal upcoming infrastructure projects in Oman, particularly in urban development. SCC should monitor for potential civil works tenders in the next 6-12 months.",PROJECT,MEDIUM,"2026-05-11 02:12:28"
315,1917,0,,,,"2026-05-11 02:12:28"
316,1918,1,"The unveiling of RO 300 million Musstir Heights in Al Jabal Al Aali indicates significant residential development, likely requiring extensive civil works. Tenders for related infrastructure could emerge within 12-18 months.",PROJECT,MEDIUM,"2026-05-11 02:12:28"
317,1934,1,"The planned RO 96 million (approx OMR 37.5M) electric vehicle and battery plant in SEZAD indicates potential future civil works related to industrial infrastructure. Tenders for site preparation and related construction may arise in the next 12-18 months.",PROJECT,MEDIUM,"2026-05-11 02:12:34"
318,1929,0,,,,"2026-05-11 02:12:34"
319,1930,0,,,,"2026-05-11 02:12:34"
320,1931,0,,,,"2026-05-11 02:12:34"
321,1697,0,,,,"2026-05-11 02:12:34"
322,1980,1,"Hassan Allam's recent contract award for a urea plant in Egypt highlights their competitive strength in the industrial construction sector, which could impact SCC's positioning in similar projects. Monitor for potential competitive bids in Oman.",COMPETITOR,MEDIUM,"2026-05-11 02:12:34"
323,2034,0,,,,"2026-05-12 02:05:30"
324,1985,0,,,,"2026-05-12 02:05:30"
325,1989,0,,,,"2026-05-12 02:05:30"
326,1990,1,"Construction of 45 social housing units in Muscat valued at RO 1.8M (approx OMR 1.8M). This project may present competition for SCC in the residential construction sector.",PROJECT,MEDIUM,"2026-05-12 02:05:30"
327,1995,0,,,,"2026-05-12 02:05:30"
328,1994,1,"Al Sharqiyah South's 27 new development projects indicate a surge in infrastructure development. Specific types of civil works are likely, but no project values are mentioned.",PROJECT,MEDIUM,"2026-05-12 02:05:30"
329,2067,0,,,,"2026-05-12 02:05:30"
330,1997,0,,,,"2026-05-12 02:05:30"
331,1999,0,,,,"2026-05-12 02:05:30"
332,2047,0,,,,"2026-05-12 02:05:30"
333,1998,0,,,,"2026-05-12 02:05:48"
334,2020,0,,,,"2026-05-12 02:05:48"
335,2022,0,,,,"2026-05-12 02:05:48"
336,2006,0,,,,"2026-05-12 02:05:48"
337,2004,0,,,,"2026-05-12 02:05:48"
338,2051,0,,,,"2026-05-12 02:05:48"
339,2026,0,,,,"2026-05-12 02:05:48"
340,2028,0,,,,"2026-05-12 02:05:48"
341,2060,1,"Oman Design & Build Week 2026 highlights ongoing momentum in the construction sector, indicating potential future civil works projects. This may lead to increased competition for SCC in upcoming tenders.",MARKET,MEDIUM,"2026-05-12 02:05:48"
342,2069,1,"Oman has announced $1.28 billion deals for future city projects, indicating significant upcoming infrastructure work. This could lead to opportunities in various construction sectors, including urban development and civil works.",PROJECT,HIGH,"2026-05-12 02:05:48"
343,2061,1,"Retal's plan to construct over 2,000 housing units in Sultan Haitham City indicates significant residential development in Muscat governorate. This could lead to future civil works opportunities in related infrastructure such as roads and utilities.",PROJECT,MEDIUM,"2026-05-12 02:06:02"
344,2068,1,"The Ministry of Transport, Communications and Information Technology (MoTCIT) has unveiled several projects aimed at boosting the economy, which may include infrastructure works. Specific details on project types and timelines are needed for further analysis.",PROJECT,MEDIUM,"2026-05-12 02:06:02"
345,2029,0,,,,"2026-05-12 02:06:02"
346,1976,0,,,,"2026-05-12 02:06:02"
347,1938,1,"The unveiling of the OMR 300 million ‘Musstir Heights’ project in Jabal Akdhar signifies a major real estate development. This could lead to associated civil works in the area, particularly in road construction and utilities.",PROJECT,HIGH,"2026-05-12 02:06:02"
348,1942,0,,,,"2026-05-12 02:06:02"
349,1977,1,"The announcement of strategic agreements and projects for Oman’s future cities suggests potential large-scale urban development. Specific project details and timelines are necessary for further assessment.",PROJECT,MEDIUM,"2026-05-12 02:06:02"
350,1955,0,,,,"2026-05-12 02:06:02"
351,2143,0,,,,"2026-05-13 02:11:50"
352,2148,1,"Dhofar plans to expand its road network by 424 kilometers in 2026. This presents potential opportunities for SCC in road construction projects in the Dhofar governorate.",PROJECT,HIGH,"2026-05-13 02:11:50"
353,2150,0,,,,"2026-05-13 02:11:50"
354,2101,0,,,,"2026-05-13 02:11:50"
355,2095,0,,,,"2026-05-13 02:11:50"
356,2105,0,,,,"2026-05-13 02:11:50"
357,2154,0,,,,"2026-05-13 02:11:50"
358,2109,0,,,,"2026-05-13 02:11:50"
359,2111,0,,,,"2026-05-13 02:11:50"
360,2114,0,,,,"2026-05-13 02:11:50"
361,2116,0,,,,"2026-05-13 02:12:03"
362,2117,0,,,,"2026-05-13 02:12:03"
363,2118,0,,,,"2026-05-13 02:12:03"
364,2140,0,,,,"2026-05-13 02:12:03"
365,2133,0,,,,"2026-05-13 02:12:03"
366,2168,0,,,,"2026-05-13 02:12:03"
367,2170,0,,,,"2026-05-13 02:12:03"
368,2179,1,"Oman has awarded $104M (approx OMR 40M) in contracts for the Sultan Haitham City project, which will involve significant civil infrastructure work. This could present competitive opportunities for SCC in the Muscat governorate.",PROJECT,HIGH,"2026-05-13 02:12:03"
369,2193,1,"Arab Contractors has secured a $10.2M (approx OMR 3.9M) road construction deal in West Minya, Egypt. This highlights their competitive positioning in the road sector, which SCC should monitor closely.",COMPETITOR,MEDIUM,"2026-05-13 02:12:03"
370,2136,0,,,,"2026-05-13 02:12:03"
371,2123,0,,,,"2026-05-13 02:12:08"
372,2124,0,,,,"2026-05-13 02:12:08"
373,2139,0,,,,"2026-05-13 02:12:08"
374,2044,0,,,,"2026-05-13 02:12:08"
375,2052,0,,,,"2026-05-13 02:12:08"
376,2198,0,,,,"2026-05-14 02:05:08"
377,2228,0,,,,"2026-05-14 02:05:08"
378,2255,0,,,,"2026-05-14 02:05:08"
379,2258,1,"Agreements to enhance fibre optic infrastructure for residential projects indicate future civil works opportunities in telecommunications. Specific projects in Muscat may require associated road and site preparation works. Tenders likely in 12-18 months.",PROJECT,MEDIUM,"2026-05-14 02:05:08"
380,2203,0,,,,"2026-05-14 02:05:08"
381,2211,0,,,,"2026-05-14 02:05:08"
